srr_id,sample_name,gsm_id,layout,organism,tissue,source_name
SRR3140234,GSM2053435: N3 [RNA-seq]; Homo sapiens; RNA-Seq,GSM2053435,PAIRED,Homo sapiens,adjacent normal,adjacent normal
SRR3140235,GSM2053435: N3 [RNA-seq]; Homo sapiens; RNA-Seq,GSM2053435,PAIRED,Homo sapiens,adjacent normal,adjacent normal
SRR3140236,GSM2053435: N3 [RNA-seq]; Homo sapiens; RNA-Seq,GSM2053435,PAIRED,Homo sapiens,adjacent normal,adjacent normal
SRR3140237,GSM2053435: N3 [RNA-seq]; Homo sapiens; RNA-Seq,GSM2053435,PAIRED,Homo sapiens,adjacent normal,adjacent normal
SRR3140238,GSM2053435: N3 [RNA-seq]; Homo sapiens; RNA-Seq,GSM2053435,PAIRED,Homo sapiens,adjacent normal,adjacent normal
SRR3140239,GSM2053436: N6 [RNA-seq]; Homo sapiens; RNA-Seq,GSM2053436,PAIRED,Homo sapiens,adjacent normal,adjacent normal
SRR3140240,GSM2053436: N6 [RNA-seq]; Homo sapiens; RNA-Seq,GSM2053436,PAIRED,Homo sapiens,adjacent normal,adjacent normal
SRR3140241,GSM2053436: N6 [RNA-seq]; Homo sapiens; RNA-Seq,GSM2053436,PAIRED,Homo sapiens,adjacent normal,adjacent normal
SRR3140242,GSM2053436: N6 [RNA-seq]; Homo sapiens; RNA-Seq,GSM2053436,PAIRED,Homo sapiens,adjacent normal,adjacent normal
SRR3140243,GSM2053436: N6 [RNA-seq]; Homo sapiens; RNA-Seq,GSM2053436,PAIRED,Homo sapiens,adjacent normal,adjacent normal
SRR3140244,GSM2053437: N7 [RNA-seq]; Homo sapiens; RNA-Seq,GSM2053437,PAIRED,Homo sapiens,adjacent normal,adjacent normal
SRR3140245,GSM2053437: N7 [RNA-seq]; Homo sapiens; RNA-Seq,GSM2053437,PAIRED,Homo sapiens,adjacent normal,adjacent normal
SRR3140246,GSM2053437: N7 [RNA-seq]; Homo sapiens; RNA-Seq,GSM2053437,PAIRED,Homo sapiens,adjacent normal,adjacent normal
SRR3140247,GSM2053437: N7 [RNA-seq]; Homo sapiens; RNA-Seq,GSM2053437,PAIRED,Homo sapiens,adjacent normal,adjacent normal
SRR3140248,GSM2053437: N7 [RNA-seq]; Homo sapiens; RNA-Seq,GSM2053437,PAIRED,Homo sapiens,adjacent normal,adjacent normal
SRR3140249,GSM2053438: N8 [RNA-seq]; Homo sapiens; RNA-Seq,GSM2053438,PAIRED,Homo sapiens,adjacent normal,adjacent normal
SRR3140250,GSM2053438: N8 [RNA-seq]; Homo sapiens; RNA-Seq,GSM2053438,PAIRED,Homo sapiens,adjacent normal,adjacent normal
SRR3140251,GSM2053438: N8 [RNA-seq]; Homo sapiens; RNA-Seq,GSM2053438,PAIRED,Homo sapiens,adjacent normal,adjacent normal
SRR3140252,GSM2053438: N8 [RNA-seq]; Homo sapiens; RNA-Seq,GSM2053438,PAIRED,Homo sapiens,adjacent normal,adjacent normal
SRR3140253,GSM2053438: N8 [RNA-seq]; Homo sapiens; RNA-Seq,GSM2053438,PAIRED,Homo sapiens,adjacent normal,adjacent normal
SRR3140254,GSM2053439: N10 [RNA-seq]; Homo sapiens; RNA-Seq,GSM2053439,PAIRED,Homo sapiens,adjacent normal,adjacent normal
SRR3140255,GSM2053439: N10 [RNA-seq]; Homo sapiens; RNA-Seq,GSM2053439,PAIRED,Homo sapiens,adjacent normal,adjacent normal
SRR3140256,GSM2053439: N10 [RNA-seq]; Homo sapiens; RNA-Seq,GSM2053439,PAIRED,Homo sapiens,adjacent normal,adjacent normal
